competitor_deity,title,slug,inferred_form,verse_units,parity_status,notes,competitor_url
shiva,Kaal Sarp Dosh Nivaran Stotram,kaal-sarp-dosh-nivaran-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kaal-sarp-dosh-nivaran-stotram
durga,Kaalratri Stotram,kaalratri-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kaalratri-stotram
vishnu,Kabir Dohe Key Verses,kabir-dohe-key-verses,other,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kabir-dohe-key-verses
shiva,Kaivalya Upanishad,kaivalya-upanishad,upanishad,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kaivalya-upanishad
kali,Kali Aarti,kali-aarti,aarti,8,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/kali-aarti
kali,Kali Ashtakam,kali-ashtakam,ashtakam,8,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/kali-ashtakam
kali,Kali Ashtottara Shatanamavali,kali-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-ashtottara-shatanamavali
kali,Kali Chalisa,kali-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/kali-chalisa
kali,Kali Gayatri,kali-gayatri,mantra,3,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-gayatri
kali,Kali Hridayam,kali-hridayam,hridayam,14,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-hridayam
kali,Kali Kavacham,kali-kavacham,kavacham,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-kavacham
kali,Kali Sahasranama Stotram (Mahanirvana Tantra),kali-sahasranama,sahasranama,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-sahasranama
kali,Kali Sahasranama Stotram (Todala Tantra),kali-sahasranama-v2,sahasranama,25,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-sahasranama-v2
kali,Kali Stotram,kali-stotram,stotram,14,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kali-stotram
vishnu,Kalki Stotram,kalki-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kalki-stotram
vishnu,Kamadeva Stotram,kamadeva-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamadeva-stotram
durga,Kamakhya Kavacham,kamakhya-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamakhya-kavacham
durga,Kamakhya Stotram,kamakhya-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamakhya-stotram
parvati,Kamakshi Stotram,kamakshi-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamakshi-stotram
lakshmi,Kamala Kavacham,kamala-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamala-kavacham
lakshmi,Kamala Stotram,kamala-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kamala-stotram
lakshmi,Kanakadhara Stotram,kanakadhara-stotram,stotram,21,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kanakadhara-stotram
lakshmi,Kara Darshana Shloka,kara-darshana-shloka,other,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kara-darshana-shloka
shiva,Karpura Gauram Karunavataram,karpura-gauram,other,1,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/karpura-gauram
kartikeya,Kartikeya Ashtottara Shatanamavali,kartikeya-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-ashtottara-shatanamavali
kartikeya,Kartikeya Dwadash Nama Stotram,kartikeya-dwadash-nama,namavali,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-dwadash-nama
kartikeya,Kartikeya Hridayam,kartikeya-hridayam,hridayam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-hridayam
kartikeya,Kartikeya Kavacham,kartikeya-kavacham,kavacham,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-kavacham
kartikeya,Kartikeya Mangalashtakam,kartikeya-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-mangalashtakam
kartikeya,Kartikeya Pancharatnam,kartikeya-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-pancharatnam
kartikeya,Kartikeya Sahasranama Stotram,kartikeya-sahasranama,sahasranama,25,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-sahasranama
kartikeya,Kartikeya Stotram,kartikeya-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kartikeya-stotram
parvati,Karva Chauth Stotram,karva-chauth-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/karva-chauth-stotram
parvati,Karva Chauth Vrat Katha,karva-chauth-vrat-katha,katha,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/karva-chauth-vrat-katha
shiva,Kashi Panchakam,kashi-panchakam,other,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kashi-panchakam
shiva,Kashi Vishwanath Stotram,kashi-vishwanath-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kashi-vishwanath-stotram
vishnu,Kathopanishad Key Verses,kathopanishad-key-verses,other,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kathopanishad-key-verses
durga,Katyayani Stotram,katyayani-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/katyayani-stotram
shiva,Kaupina Panchakam,kaupina-panchakam,other,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kaupina-panchakam
shiva,Kedarnath Stotram,kedarnath-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kedarnath-stotram
vishnu,Kena Upanishad,kena-upanishad,upanishad,14,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kena-upanishad
ganesha,Ketu Dosh Nivaran Stotram,ketu-dosh-nivaran-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ketu-dosh-nivaran-stotram
navagraha,Ketu Kavacham,ketu-kavacham,kavacham,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ketu-kavacham
navagraha,Ketu Sahasranama Stotram,ketu-sahasranama,sahasranama,23,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ketu-sahasranama
navagraha,Ketu Stotra,ketu-stotra,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ketu-stotra
navagraha,Ketu Stotram,ketu-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ketu-stotram
krishna,Khatu Shyam Aarti,khatu-shyam-aarti,aarti,8,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/khatu-shyam-aarti
krishna,Khatu Shyam Chalisa,khatu-shyam-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/khatu-shyam-chalisa
durga,Kilak Stotram,kilak-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kilak-stotram
rama,Kodanda Rama Stotram,kodanda-rama-stotram,stotram,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kodanda-rama-stotram
krishna,Krishna Ashtakam,krishna-ashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/krishna-ashtakam
krishna,Krishna Ashtottara Shatanamavali,krishna-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-ashtottara-shatanamavali
krishna,Krishna Chalisa,krishna-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/krishna-chalisa
krishna,Krishna Dhyanam,krishna-dhyanam,dhyanam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-dhyanam
krishna,Krishna Dwadash Nama Stotram,krishna-dwadash-nama,namavali,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-dwadash-nama
krishna,Krishna Gayatri Mantra,krishna-gayatri,mantra,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-gayatri
krishna,Krishna Gitavali - Key Verses,krishna-gitavali-key-verses,gita,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-gitavali-key-verses
krishna,Krishna Hridayam,krishna-hridayam,hridayam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-hridayam
krishna,Krishna Karnamrutam Key Verses,krishna-karnamrutam-key-verses,other,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-karnamrutam-key-verses
krishna,Krishna Kavacham,krishna-kavacham,kavacham,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-kavacham
krishna,Krishna Lila Stuti,krishna-lila-stuti,stuti,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-lila-stuti
krishna,Krishna Mangalashtakam,krishna-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-mangalashtakam
krishna,Krishna Pancharatnam,krishna-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-pancharatnam
krishna,Krishna Sahasranama Stotram,krishna-sahasranama,sahasranama,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/krishna-sahasranama
krishna,Krishna Stuti,krishna-stuti,stuti,12,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/krishna-stuti
vishnu,Kshamapana Stotram,kshamapana-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kshamapana-stotram
kubera,Kubera Ashtakam,kubera-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-ashtakam
kubera,Kubera Chalisa,kubera-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/kubera-chalisa
kubera,Kubera Dwadash Nama Stotram,kubera-dwadash-nama,namavali,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-dwadash-nama
kubera,Kubera Gayatri,kubera-gayatri,mantra,2,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-gayatri
kubera,Kubera Hridayam,kubera-hridayam,hridayam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-hridayam
kubera,Kubera Kavacham,kubera-kavacham,kavacham,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-kavacham
kubera,Kubera Lakshmi Stotram,kubera-lakshmi-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-lakshmi-stotram
kubera,Kubera Mantra,kubera-mantra,mantra,6,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-mantra
kubera,Kubera Pancharatnam,kubera-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-pancharatnam
kubera,Kubera Sahasranama Stotram,kubera-sahasranama,sahasranama,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kubera-sahasranama
kubera,Kubera Stotram,kubera-stotram,stotram,8,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/kubera-stotram
kartikeya,Kumara Ashtakam,kumara-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kumara-ashtakam
krishna,Kunti Stuti,kunti-stuti,stuti,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kunti-stuti
vishnu,Kurma Stotram,kurma-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kurma-stotram
durga,Kushmanda Stotram,kushmanda-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/kushmanda-stotram
lakshmi,Lakshmi Aarti - Om Jai Lakshmi Mata,lakshmi-aarti,aarti,8,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/lakshmi-aarti
lakshmi,Lakshmi Ashtakam,lakshmi-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-ashtakam
lakshmi,Lakshmi Ashtottara Shatanamavali,lakshmi-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-ashtottara-shatanamavali
lakshmi,Lakshmi Chalisa,lakshmi-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/lakshmi-chalisa
lakshmi,Lakshmi Dhyanam,lakshmi-dhyanam,dhyanam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-dhyanam
lakshmi,Lakshmi Dwadash Nama Stotram,lakshmi-dwadash-nama,namavali,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-dwadash-nama
lakshmi,Lakshmi Gayatri Mantra,lakshmi-gayatri,mantra,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-gayatri
lakshmi,Lakshmi Hridaya Stotram,lakshmi-hridayam,hridayam,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-hridayam
lakshmi,Lakshmi Kavacham,lakshmi-kavacham,kavacham,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-kavacham
lakshmi,Lakshmi Mangalashtakam,lakshmi-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-mangalashtakam
narasimha,Lakshmi Narasimha Karavalamba Stotram,lakshmi-narasimha-karavalamba-stotram,stotram,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-narasimha-karavalamba-stotram
narasimha,Lakshmi Narasimha Pancharatnam,lakshmi-narasimha-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-narasimha-pancharatnam
narasimha,Lakshmi Narasimha Stotram,lakshmi-narasimha-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-narasimha-stotram
vishnu,Lakshmi Narayana Hridayam,lakshmi-narayana-hridayam,hridayam,13,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-narayana-hridayam
vishnu,Lakshmi Narayana Stotram,lakshmi-narayana-stotram,stotram,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-narayana-stotram
lakshmi,Lakshmi Pancharatnam,lakshmi-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-pancharatnam
lakshmi,Lakshmi Sahasranama Stotram,lakshmi-sahasranama,sahasranama,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-sahasranama
lakshmi,Lakshmi Stotram,lakshmi-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-stotram
lakshmi,Lakshmi Stuti,lakshmi-stuti,stuti,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lakshmi-stuti
parvati,Lalita Sahasranama Stotram,lalita-sahasranama,sahasranama,50,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lalita-sahasranama
parvati,Lalita Trishati Stotram,lalita-trishati,stotram,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/lalita-trishati
vishnu,Laxminarayan Chalisa,laxminarayan-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/laxminarayan-chalisa
shiva,Lingashtakam,lingashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/lingashtakam
krishna,Madhurashtakam,madhurashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/madhurashtakam
ganesha,Maha Ganapati Stotram,maha-ganapati-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/maha-ganapati-stotram
ganesha,Maha Ganesh Mantra Collection,maha-ganesh-mantra,mantra,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/maha-ganesh-mantra
shiva,Maha Shivaratri Stotram,maha-shivratri-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/maha-shivratri-stotram
durga,Mahagauri Stotram,mahagauri-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mahagauri-stotram
shiva,Mahakal Ashtakam,mahakal-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mahakal-ashtakam
shiva,Mahakal Stotram,mahakal-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mahakal-stotram
kali,Mahakali Kavacham,mahakali-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mahakali-kavacham
kali,Mahakali Stotram,mahakali-stotram,stotram,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mahakali-stotram
lakshmi,Mahalakshmi Ashtakam,mahalakshmi-ashtakam,ashtakam,8,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/mahalakshmi-ashtakam
shiva,Mahamrityunjaya Mantra,mahamrityunjaya-mantra,mantra,1,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/mahamrityunjaya-mantra
durga,Mahishasura Mardini Stotram,mahishasura-mardini-stotram,stotram,16,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/mahishasura-mardini-stotram
durga,Mahishasura Mardini Stotram Excerpt,mahishasura-mardini-stotram-excerpt,stotram,5,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/mahishasura-mardini-stotram-excerpt
surya,Makar Sankranti Vrat Katha,makar-sankranti-vrat-katha,katha,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/makar-sankranti-vrat-katha
shiva,Mallikarjuna Stotram,mallikarjuna-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mallikarjuna-stotram
vishnu,Mandukya Upanishad,mandukya-upanishad,upanishad,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mandukya-upanishad
durga,Mangal Chandika Stotram,mangal-chandika-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-chandika-stotram
hanuman,Mangal Dosh Nivaran Stotram,mangal-dosh-nivaran-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-dosh-nivaran-stotram
navagraha,Mangal Graha Kavacham,mangal-graha-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-graha-kavacham
navagraha,Mangal Kavacham,mangal-kavacham,kavacham,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-kavacham
navagraha,Mangal Sahasranama Stotram,mangal-sahasranama,sahasranama,23,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-sahasranama
navagraha,Mangal Stotra,mangal-stotra,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-stotra
navagraha,Mangal Stotram,mangal-stotram,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangal-stotram
hanuman,Mangalvar Vrat Katha (Tuesday Fasting Story),mangalvar-vrat-katha,katha,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mangalvar-vrat-katha
shiva,Manisha Panchakam,manisha-panchakam,other,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/manisha-panchakam
vishnu,Mantra Pushpam,mantra-pushpam,mantra,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mantra-pushpam
vishnu,Mantra Pushpanjali,mantra-pushpanjali,mantra,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mantra-pushpanjali
vishnu,Manyu Suktam,manyu-suktam,suktam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/manyu-suktam
shiva,Markandeya Stuti,markandeya-stuti,stuti,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/markandeya-stuti
hanuman,Maruti Ashtakam,maruti-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/maruti-ashtakam
hanuman,Maruti Stotra,maruti-stotra,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/maruti-stotra
durga,Matangi Kavacham,matangi-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/matangi-kavacham
durga,Matangi Stotram,matangi-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/matangi-stotram
vishnu,Matsya Stotram,matsya-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/matsya-stotram
shiva,Medha Dakshinamurthy Stotram,medha-dakshinamurthy-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/medha-dakshinamurthy-stotram
saraswati,Medha Suktam,medha-suktam,suktam,9,partial,Aadhyatma has only an excerpt or narrower treatment.,https://stotra.vastucart.in/stotra/medha-suktam
parvati,Meenakshi Pancharatnam,meenakshi-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/meenakshi-pancharatnam
parvati,Meenakshi Stotram,meenakshi-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/meenakshi-stotram
krishna,Meera Bhajan - Key Verses,meera-bhajan-key-verses,other,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/meera-bhajan-key-verses
hanuman,Mehandipur Balaji Aarti,mehandipur-balaji-aarti,aarti,4,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/mehandipur-balaji-aarti
shiva,Moksha Prapti Stotram,moksha-prapti-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/moksha-prapti-stotram
shiva,Mrityunjaya Kavacham,mrityunjaya-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mrityunjaya-kavacham
shiva,Mrityunjaya Stotram,mrityunjaya-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mrityunjaya-stotram
krishna,Mukunda Mala Stotram,mukunda-mala-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/mukunda-mala-stotram
